School,Grade Levels,Hours,Address
Dr. George Washington Carver Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","1360 Oakdale Avenue , San Francisco, California 94124"
"Dr. Martin Luther King, Jr. Academic Middle School",Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","350 Girard Street , San Francisco, California 94134"
Dr. William L. Cobb Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","2725 California Street , San Francisco, California 94115"
E.R. Taylor Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","423 Burrows Street , San Francisco, California 94134"
Edwin and Anita Lee Newcomer School 李孟賢伉儷新移民學校,Elementary School (2-5),"Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","950 Clay Street , San Francisco, California 94108"
El Dorado Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","70 Delta Street , San Francisco, California 94134"
Everett Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","450 Church Street , San Francisco, California 94114"
Francis Scott Key Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","1530 43rd Avenue , San Francisco, California 94122"
Francisco Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","2190 Powell Street , San Francisco, California 94133"
Frank McCoppin Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","651 6th Avenue , San Francisco, California 94118"
Galileo Academy of Science & Technology,High School (9-13),"Mo - Tu: 8:40 am-3:40 pm
We: 8:40 am-2:30 pm
Th - Fr: 8:40 am-3:40 pm","1150 Francisco Street , San Francisco, California 94109"
Garfield Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","420 Filbert Street , San Francisco, California 94133"
George Peabody Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","251 6th Avenue , San Francisco, California 94118"
George R. Moscone Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","2576 Harrison Street , San Francisco, California 94110"
George Washington High School,High School (9-12),"Mo - Tu: 8:40 am-3:40 pm
We: 8:40 am-2:45 pm
Th - Fr: 8:40 am-3:40 pm","600 32nd Avenue , San Francisco, California 94121"
Glen Park Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","151 Lippard Avenue , San Francisco, California 94131"
Gordon J. Lau Elementary School 劉貴明小學,"Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","950 Clay Street , San Francisco, California 94108"
